age_years,lambda_adkm,lambda_nint,z_adkm,z_nint
49.237606155243085,-1.3450717,-1.448374,-0.8505924754041082,-0.8505924754041082
49.44650489534496,-1.3473431,-1.448374,-0.8379890843628112,-0.8379890843628112
49.655403635446845,-1.3496145,-1.448374,-0.8253856933215133,-0.8253856933215133
49.86430237554873,-1.3518859,-1.448374,-0.8127823022802155,-0.8127823022802155
50.073201115650605,-1.3541573,-1.448374,-0.8001789112389185,-0.8001789112389185
50.28209985575249,-1.3564287,-1.448374,-0.7875755201976207,-0.7875755201976207
50.490998595854364,-1.3587002,-1.448374,-0.7749721291563236,-0.7749721291563236
50.69989733595625,-1.3609716,-1.448374,-0.7623687381150258,-0.7623687381150258
50.908796076058124,-1.3632429,-1.448374,-0.7497653470737288,-0.7497653470737288
51.11769481616001,-1.3655144,-1.448374,-0.737161956032431,-0.737161956032431
51.326593556261884,-1.3677858,-1.448374,-0.724558564991134,-0.724558564991134
51.53549229636377,-1.3700571,-1.448374,-0.7119551739498361,-0.7119551739498361
51.74439103646564,-1.3723285,-1.448374,-0.6993517829085392,-0.6993517829085392
51.95328977656753,-1.3745999,-1.448374,-0.6867483918672413,-0.6867483918672413
52.1621885166694,-1.3768713,-1.448374,-0.6741450008259443,-0.6741450008259443
52.37108725677129,-1.3791428,-1.448374,-0.6615416097846465,-0.6615416097846465
52.57998599687316,-1.3814142,-1.448374,-0.6489382187433494,-0.6489382187433494
52.78888473697505,-1.3836856,-1.448374,-0.6363348277020516,-0.6363348277020516
52.997783477076936,-1.385957,-1.448374,-0.6237314366607538,-0.6237314366607538
53.20668221717881,-1.3882284,-1.448374,-0.6111280456194568,-0.6111280456194568
53.415580957280696,-1.3904998,-1.448374,-0.598524654578159,-0.598524654578159
53.62447969738257,-1.3927712,-1.448374,-0.5859212635368619,-0.5859212635368619
53.833378437484456,-1.3950427,-1.448374,-0.5733178724955641,-0.5733178724955641
54.04227717758633,-1.3973141,-1.448374,-0.5607144814542672,-0.5607144814542672
54.251175917688215,-1.3995855,-1.448374,-0.5481110904129692,-0.5481110904129692
54.46007465779009,-1.4018569,-1.448374,-0.5355076993716723,-0.5355076993716723
54.668973397891975,-1.4041283,-1.448374,-0.5229043083303745,-0.5229043083303745
54.87787213799385,-1.4063997,-1.448374,-0.5103009172890774,-0.5103009172890774
55.086770878095734,-1.408671,-1.448374,-0.49769752624777963,-0.49769752624777963
